time,channel_name,ocean_region,ges_id,channel_unit_id,channel_type,su_type,burst_frequency_offset,burst_timing_offset
7/03/2014 16:00:13.406,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,0x15 - Log-on/Log-off Acknowledge,103,14820
7/03/2014 16:00:13.906,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x15 - Log-on/Log-off Acknowledge,null,null
7/03/2014 16:00:17.430,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,Eleven Octet User Data,103,14740
7/03/2014 16:00:17.906,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,Eleven Octet User Data,103,14780
7/03/2014 16:00:18.406,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,Eight Octet User Data,103,14820
7/03/2014 16:00:18.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x62 - Acknowledge User Data,null,null
7/03/2014 16:00:20.906,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x71 - User Data (ISU) - RLS,null,null
7/03/2014 16:00:20.906,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:00:20.906,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:00:20.906,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:00:22.906,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,0x62 - Acknowledge User Data (R-channel),104,14740
7/03/2014 16:00:23.407,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,0x22 - Access Request (R/T-Channel),103,14820
7/03/2014 16:00:23.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x51 - T-Channel Assignment,null,null
7/03/2014 16:00:27.741,IOR-T1200-0-36D7,IOR,305,8,T-Channel RX,0x71 - User Data (ISU) - RLS,86,9820
7/03/2014 16:00:27.901,IOR-T1200-0-36D7,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,86,9820
7/03/2014 16:00:28.61,IOR-T1200-0-36D7,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,88,9820
7/03/2014 16:00:28.221,IOR-T1200-0-36D7,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,88,9820
7/03/2014 16:00:28.405,IOR-T1200-0-36D7,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,88,9820
7/03/2014 16:00:28.541,IOR-T1200-0-36D7,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,88,9820
7/03/2014 16:00:29.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x62 - Acknowledge User Data,null,null
7/03/2014 16:00:30.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x71 - User Data (ISU) - RLS,null,null
7/03/2014 16:00:30.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:00:30.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:00:30.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:00:32.406,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,0x62 - Acknowledge User Data (R-channel),85,14820
7/03/2014 16:01:16.406,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,Eleven Octet User Data,86,14820
7/03/2014 16:01:16.906,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,Four Octet User Data,86,14820
7/03/2014 16:01:17.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x62 - Acknowledge User Data,null,null
7/03/2014 16:01:18.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x71 - User Data (ISU) - RLS,null,null
7/03/2014 16:01:18.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:01:19.906,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,0x22 - Access Request (R/T-Channel),87,14780
7/03/2014 16:01:20.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x51 - T-Channel Assignment,null,null
7/03/2014 16:01:20.906,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,0x62 - Acknowledge User Data (R-channel),87,14800
7/03/2014 16:01:24.241,IOR-T1200-0-36D8,IOR,305,8,T-Channel RX,0x71 - User Data (ISU) - RLS,88,9800
7/03/2014 16:01:24.401,IOR-T1200-0-36D8,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,88,9800
7/03/2014 16:01:24.561,IOR-T1200-0-36D8,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,88,9800
7/03/2014 16:01:24.721,IOR-T1200-0-36D8,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,88,9800
7/03/2014 16:01:24.881,IOR-T1200-0-36D8,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,86,9800
7/03/2014 16:01:25.41,IOR-T1200-0-36D8,IOR,305,8,T-Channel RX,Subsequent Signalling Unit,86,9800
7/03/2014 16:01:25.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x62 - Acknowledge User Data,null,null
7/03/2014 16:01:26.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x71 - User Data (ISU) - RLS,null,null
7/03/2014 16:01:26.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:01:28.906,IOR-R1200-0-36D3,IOR,305,8,R-Channel RX,0x62 - Acknowledge User Data (R-channel),86,14800
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,0x71 - User Data (ISU) - RLS,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.405,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
7/03/2014 16:06:32.905,IOR-P10500-0-3859,IOR,305,10,P-Channel TX,Subsequent Signalling Unit,null,null
